Name,Type,Description,Latitude,Longitude
"J.W. Winco, Inc.",Manufacturer,certified manufacturer of sight glass,42.99348,-88.12858
"Pope Scientific, Inc.",Manufacturer,Scientific & Process Apparatus,43.3874,-87.95417
Packerland Glass Products,Manufacturer,"Glass shop with a variety of products for the automotive, commercial & residential industries",44.50777,-88.1076
"PPG Industries, Inc.",Manufacturer,"Architectural, automobile & aircraft",42.84868,-87.92959
Kustom Kraft Laser,Manufacturer,Custom manufacturer of laser engraving and laser die cutting products,43.7893,-90.36061
"Tri City Glass & Door, Inc. 1",Distributor,"Distributor Of Automotive, Window & Store Front Plate Glass; Installing Service",44.28766,-88.40621
"Tri City Glass & Door, Inc. 2",Distributor,"Distributor Of Automotive, Window & Store Front Plate Glass; Installing Service",44.49226,-87.97915
S-V Glass Incorporated,Distributor,"Window & store front plate; Distributor, Service: installation",43.00425,-88.11363
"BGS Glass, LLC.",Service Company,Glass Installation & Replacement Services For Commercial & Residential Markets.,43.01437,-88.20466
Omni Glass & Paint,Distributor,"Distributor Of Window, Automotive & Plate Glass; Contracting Service",44.06532,-88.57352
Greene Glass,Service Company,"Window; Service: installation, repair",42.73487,-87.78552
White City Glass,Service Company,(Store Front) & Installation,44.88613,-91.92895
"Custom Glass Products, Inc.",Manufacturer,Custom manufacturer of architectural products for commercial and residential markets,44.90554,-89.55712
Swagelok Company,Manufacturer,manufacturer of safety glasses for 63 mm industrial pressure gauges,44.28481,-88.35812
"Cardinal Glass Industries, Inc.",Plant,"Insulated, Coated, & Flat Glass",45.29507,-92.36112
"Cardinal Glass Industries, Inc.",Plant,"Insulated, Coated, & Flat Glass",43.16898,-89.81086
"Cardinal Glass Industries, Inc.",Plant,"Insulated, Coated, & Flat Glass",44.91042,-91.87459
"Cardinal Glass Industries, Inc.",Plant,"Insulated, Coated, & Flat Glass",43.55761,-89.49909
"Cardinal Glass Industries, Inc.",Plant,"Insulated, Coated, & Flat Glass",43.17485,-90.05629
"Cardinal Glass Industries, Inc.",Plant,"Insulated, Coated, & Flat Glass",43.17476,-90.05466
"Cardinal Glass Industries, Inc.",Plant,"Insulated, Coated, & Flat Glass",43.1721,-90.05083
"Cardinal Glass Industries, Inc.",Plant,"Insulated, Coated, & Flat Glass",43.17583,-90.07458
"Cardinal Glass Industries, Inc.",Plant,"Insulated, Coated, & Flat Glass",43.98763,-90.47702
"Cardinal Glass Industries, Inc.",Plant,"Insulated, Coated, & Flat Glass",43.98931,-90.47705
"Cardinal Glass Industries, Inc.",Plant,"Insulated, Coated, & Flat Glass",44.02823,-90.38215
"National Glass, Inc",Service Company,Designer And Installation Of Glass Products.,43.16179,-88.01291
"ASI Technologies, Inc.",Manufacturer,Manufacturer Of Ind. Doors,43.12457,-88.03135
"Hellenbrand Glass, LLC.",Manufacturer,Manufacturer Of Glass For Commercial & Residential Applications,43.18829,-89.4326
Oxford Art Glass Studio,Manufacturer,Custom manufacturer of stained glass window,43.09521,-87.88718
Whitewater Glass Co.,Distributor,"Window & store front plate; Distributor, Service: installation",42.83368,-88.72851
"Thomas Glass, Inc",Distributor,"Window & store front plate; Distributor, Service: installation",42.65004,-88.36018
"Martin, H. J. & Son, Inc.",Distributor," Distributor Of Acoustical Materials, Raised Floors, Glass, Office Partitions, Carpets & Rugs, Door & Gate Operators",44.52677,-88.06252
Fink Industries,Manufacturer,Manufacturer of fiberglass for trucks and vans,44.28909,-88.25961
Studio One Art Glass Inc.,Manufacturer,Stained Glass.,42.91059,-87.86896
Trulite,Plant,Manufacturer Of Aluminum & Glass,43.20546,-87.99249
Trulite,Plant,Manufacturer Of Aluminum & Glass,42.94025,-88.10779
Krauski Art Glass,Manufacturer,Custom manufacturer of stained and sand carved glass.,43.10215,-88.34258
Hillestad Glass Co.,Distributor,"Distributor of glass, mirrors, insulating windows, screens; emergency board up & repair service",43.08447,-89.31448
IG Shop,Manufacturer,Manufacturer of insulated glass.,44.43054,-88.01857
"Contract Glass & Partitions, Inc.",Distributor,Store fronts,42.55168,-88.08307
Prairie Glass Co.,Distributor,"Window, store front plate; Distributor, installation",43.18248,-89.21991
"Service Glass Co., Inc.",Distributor,"Window & store front plate; Distributor, Service: installation",44.18553,-88.48577
Quick-Set Panels Corp.,Distributor,"Block & structural; Distributor, installation",42.74755,-87.79789
"Mini-Max, Inc.",Service Company,Distributor of glass. Installation service,42.69908,-87.90431
Airport Glass & Plastic Ltd.,Distributor,Distributor of glass & plastic repair & installation service,42.95888,-87.86084
"Enterprise Art Glass Works, Inc.",Manufacturer,"Design, Sand Etching, Hand Painting, Staining & Enameling, Repairs Antique Glass",43.04458,-87.98136
Oshkosh Glass,Service Company,"Window, store front plate; installation",44.00303,-88.54265
Garys Glass Service,Distributor,Distributor Of Glass,44.50748,-89.52647
"Ability Glass, Inc.",Distributor,Distributor Of Automotive & Window Glass; Installation Service,42.57122,-87.8549